CamperID,Forename,Surname,Date of Birth,Disability,ChurchID
1,Coleman,Cuneo,01/08/1997,FALSE,3
2,Rachel,Larrison,18/07/1954,FALSE,4
3,Dwayne,Maddalena,10/03/1956,FALSE,5
4,Angelique,Schermerhorn,08/04/1956,FALSE,2
5,Junior,Wadlinger,24/05/1963,TRUE,4
6,Darrel,Tork,13/06/1965,FALSE,1
7,Lana,Garrigus,08/05/1968,FALSE,2
8,Jonathon,Waldall,20/12/1971,FALSE,3
9,Kristine,Paker,24/12/1971,FALSE,4
10,Dwain,Agricola,20/04/1976,FALSE,5
11,Jewel,Agresta,21/05/1976,FALSE,3
12,Georgette,Bandyk,13/04/1977,FALSE,5
13,Geri,Forness,02/11/1978,FALSE,5
14,Modesto,Scroggie,14/02/1981,FALSE,2
15,Curt,Menedez,24/02/1984,FALSE,1
16,Karen,Zombo,01/08/1984,FALSE,5
17,Lora,Lendor,12/12/1985,FALSE,5
18,Felipe,Mahone,22/04/1986,FALSE,4
19,Rosalyn,Daulton,20/10/1986,FALSE,4
20,Marquita,Bousman,15/11/1986,FALSE,4
21,Carla,Sirbaugh,30/01/1987,FALSE,5
22,Wes,Fontanella,06/10/1988,FALSE,5
23,Meredith,Ivrin,05/03/1990,FALSE,2
24,Laurie,Bigg,11/01/1992,FALSE,3
25,Barton,Friesner,25/06/1992,FALSE,1
26,Sophie,Langner,20/04/2002,FALSE,2
27,Garfield,Lijewski,24/10/2002,FALSE,2
28,Warren,Speach,21/12/2004,FALSE,2
29,Madonna,Cosby,20/12/2005,FALSE,3
30,Valeria,Lingbeek,22/12/2005,FALSE,5
31,Heath,Vanalphen,18/03/2006,FALSE,1
32,Marisa,Woldridge,23/04/2007,FALSE,2
33,Rene,Dummermuth,24/07/2007,TRUE,1
34,Helga,Windle,20/08/2007,FALSE,3
35,Margot,Arenburg,02/08/1997,FALSE,3
36,Sheila,Holloran,05/08/1993,FALSE,3
37,Melinda,Carleton,07/05/1985,FALSE,3
38,Ike,Zeolla,29/07/2012,FALSE,3
39,Elmo,Dagenais,04/08/2012,TRUE,3
40,Valentine,Granberry,19/03/2014,FALSE,3
